,s0_5,s1_5,s2_5,s3_5,s4_5,s0_5_10%,s1_5_10%,s2_5_10%,s3_5_10%,s4_5_10%,s0_10,s1_10,s2_10,s3_10,s4_10,s0_10_10%,s1_10_10%,s2_10_10%,s3_10_10%,s4_10_10%,s0_15,s1_15,s2_15,s3_15,s4_15,s0_15_10%,s1_15_10%,s2_15_10%,s3_15_10%,s4_15_10%,s0_20,s1_20,s2_20,s3_20,s4_20,s0_20_10%,s1_20_10%,s2_20_10%,s3_20_10%,s4_20_10%
100,-0.32849306,-0.373615148,-0.52363515,-0.437014003,-0.430837003,-2638.254714,-3.820542164,0.150748134,-12.28465386,-51.92571193,-0.621355996,-0.706222729,-1.043526543,-0.865016473,-0.846218409,-1010.766683,-3.457258898,0.324790303,-12.09700703,-59.71000988,-0.779437095,-1.005987607,-1.696436101,-1.389477619,-1.272721223,-507.5033246,-2.701543838,0.395726034,-12.27235613,-82.19208282,,,,,,,,,,
200,-0.425183144,-0.284098095,-0.551321425,-0.393171614,-0.258553758,-65.15383992,42.83208082,0.423409442,53.56809593,-478.821787,-0.74617348,-0.516988912,-1.09609154,-0.789577405,-0.272373486,-83.12172077,77.95676186,0.538936091,57.7244461,-205.5004129,-0.834431571,-0.696227389,-1.795989349,-1.272206094,3.367301177,-106.1796601,406.3181249,0.523142828,75.36484025,-119.1260538,,,,,,,,,,
300,-0.254529644,-0.39730148,-0.231580855,-0.568973957,-0.351373785,-32.56369987,16.55901322,-101.4832311,1.31313478,-53.73188141,-0.277431886,-0.819417059,-0.447989232,-1.143125383,-0.664938163,-41.15836792,15.24539019,-103.6514995,1.268099217,-66.93736655,0.54863637,-1.382165629,-0.683113491,-1.847971228,-1.002815089,-56.38826697,14.09020663,-108.0008809,1.142114556,-90.23550329,6.339107225,-2.281202606,-0.937112564,-2.621939051,-1.357711888,-80.54791614,11.08838477,-116.1920414,0.778868406,-144.6813848
400,-0.483692316,-0.508862618,-0.319080673,-0.29567992,-0.448263118,-8.08534489,-2.817061974,-162.0476946,57.44483618,-28.6973301,-0.964793439,-1.006920026,-0.482533716,-0.461608452,-0.879436564,-7.187530943,-2.791321412,-2345.970317,100.0277287,-27.65808892,-1.584298444,-1.632842412,0.100908172,-0.340441682,-1.397877399,-6.32396122,-2.998714538,1482.100502,633.4689453,-27.4879902,-2.56551652,-2.585148799,6.432759731,0.644700503,-2.134972984,-5.238958026,-3.759053702,2333.460464,-272.3459058,-28.47675719
500,-0.395177408,-0.268426776,-0.397676484,-0.603955981,-0.365699823,-6.353427453,-1364.840102,-12.58682976,-0.705338464,36.94460515,-0.717550183,-0.514675542,-0.810953862,-1.194934281,-0.68843987,-7.216318734,-605.3172173,-12.39961676,-0.740628606,13.57682095,-0.981860307,-0.771357621,-1.348441325,-1.950444104,-1.007932231,-8.402356629,-361.3234486,-14.93178484,-0.770861903,-24.22647532,-1.135127891,-1.061875872,-2.142439524,-3.141449288,-1.32782469,-9.733052077,-253.4632021,-21.07445284,-0.577517354,-787.7160368
600,-0.359250785,-0.547990271,-0.523740786,-0.486158393,-0.533947061,-29530.20351,-20.23418316,11.44148393,4.403719586,-2.28236593,-0.707978012,-1.107612028,-1.037067667,-0.97026027,-1.059713226,-681.4213496,-22.23652916,14.34829856,4.838488484,-2.018887537,-1.130627155,-1.862653638,-1.671786927,-1.591384057,-1.727975948,-276.7674179,-24.83134278,22.86251474,6.191313143,-1.87243728,-1.710860191,-3.140686492,-2.613075399,-2.574455714,-2.771492871,-149.4439273,-27.36424398,42.13781956,9.714430987,-2.083639955
700,-0.345856429,-0.52797881,-0.011293412,-0.140276153,-0.416320487,-55.1308876,-104.4431133,649.1881871,145.555394,179.9383725,-0.656580608,-1.044798853,-0.025521801,-0.292667385,-0.729817048,-74.49933971,-156.73625,572.4251303,126.7812865,-239.831386,-0.948544522,-1.702269978,-0.028511459,-0.460078494,-0.913820938,-109.491624,-236.2025488,808.2515241,116.2704663,-130.4283044,-1.139830273,-2.707125478,0.021907768,-0.588254037,-0.630414961,-166.4852185,-386.9598414,-1522.989472,126.9997881,-107.973856
800,-0.453160634,-0.549631813,-0.49921706,-0.361849393,-0.392567304,3.630494057,-26.76355796,-53.63590268,-19.2587136,-9.301754551,-1.273139642,-1.116752427,-1.049307889,-0.666424024,-0.725725498,-3.779958001,-29.62224811,-69.33080867,-29.51795997,-5.281593756,-3.269909394,-1.904656801,-1.850825551,-0.919980339,-0.961221035,-15.20160565,-36.73000547,-133.4012965,-46.30105015,6.314213808,-1.321388583,-3.274795223,-3.256872797,-1.10021738,-0.746377393,-11.67062948,-48.47295875,-396.5190647,-71.5146477,18.90142781
900,-0.32918295,-0.546748388,-0.199144518,-0.424348736,-0.200579572,35.89733875,23.15237034,-62.40221882,-18.92790478,-19.968547,-0.532097869,-1.098901884,-0.387518525,-0.821873009,-0.228598208,36.85305459,19.02757512,-59.81107464,-18.30217987,-19.8291237,-0.455349042,-1.822087552,-0.572523792,-1.368841623,0.108720723,43.17752233,15.2677445,-57.07769156,-7.772723406,-19.310888,0.67441547,-2.96945856,-0.736203954,-2.334051547,1.432797169,55.1645969,12.65246682,-55.03543781,18.38850039,-16.10595332
1000,-0.486325126,-0.59597345,-0.524040798,-0.585787009,-0.514753464,13.06188021,-3.428586915,20.34014788,3.542473305,-15.9422988,-0.96074024,-1.181362934,-1.037693899,-1.160994937,-1.020602392,16.39949072,-3.075850629,24.12489926,3.18947901,-18.45051868,-1.545990251,-1.932866136,-1.684726215,-1.900876991,-1.626221288,24.65243152,-2.553010285,32.65449876,2.681958628,-24.32543015,-2.408889003,-3.125476407,-2.686779852,-3.080939867,-2.461297772,43.33184986,-1.629346942,51.38220844,1.691235087,-33.87729126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s0_5,s0_10,s0_15,s0_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.32849306,-0.621355996,-0.779437095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.425183144,-0.74617348,-0.834431571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.254529644,-0.277431886,0.54863637,6.339107225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.483692316,-0.964793439,-1.584298444,-2.56551652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.395177408,-0.717550183,-0.981860307,-1.135127891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.359250785,-0.707978012,-1.130627155,-1.710860191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.345856429,-0.656580608,-0.948544522,-1.139830273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.453160634,-1.273139642,-3.269909394,-1.321388583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.32918295,-0.532097869,-0.455349042,0.67441547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.486325126,-0.96074024,-1.545990251,-2.408889003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s1_5,s1_10,s1_15,s1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.373615148,-0.706222729,-1.005987607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.284098095,-0.516988912,-0.696227389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.39730148,-0.819417059,-1.382165629,-2.281202606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.508862618,-1.006920026,-1.632842412,-2.585148799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.268426776,-0.514675542,-0.771357621,-1.061875872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.547990271,-1.107612028,-1.862653638,-3.140686492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.52797881,-1.044798853,-1.702269978,-2.707125478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.549631813,-1.116752427,-1.904656801,-3.274795223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.546748388,-1.098901884,-1.822087552,-2.96945856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.59597345,-1.181362934,-1.932866136,-3.125476407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s2_5,s2_10,s2_15,s2_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.52363515,-1.043526543,-1.696436101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.551321425,-1.09609154,-1.795989349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.231580855,-0.447989232,-0.683113491,-0.937112564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.319080673,-0.482533716,0.100908172,6.432759731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.397676484,-0.810953862,-1.348441325,-2.142439524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.523740786,-1.037067667,-1.671786927,-2.613075399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.011293412,-0.025521801,-0.028511459,0.021907768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.49921706,-1.049307889,-1.850825551,-3.256872797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.199144518,-0.387518525,-0.572523792,-0.736203954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.524040798,-1.037693899,-1.684726215,-2.686779852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s3_5,s3_10,s3_15,s3_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.437014003,-0.865016473,-1.389477619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.393171614,-0.789577405,-1.272206094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.568973957,-1.143125383,-1.847971228,-2.621939051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.29567992,-0.461608452,-0.340441682,0.644700503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.603955981,-1.194934281,-1.950444104,-3.141449288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.486158393,-0.97026027,-1.591384057,-2.574455714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.140276153,-0.292667385,-0.460078494,-0.588254037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.361849393,-0.666424024,-0.919980339,-1.10021738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.424348736,-0.821873009,-1.368841623,-2.334051547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.585787009,-1.160994937,-1.900876991,-3.080939867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s4_5,s4_10,s4_15,s4_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.430837003,-0.846218409,-1.272721223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.258553758,-0.272373486,3.367301177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.351373785,-0.664938163,-1.002815089,-1.357711888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.448263118,-0.879436564,-1.397877399,-2.134972984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.365699823,-0.68843987,-1.007932231,-1.32782469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.533947061,-1.059713226,-1.727975948,-2.771492871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.416320487,-0.729817048,-0.913820938,-0.630414961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.392567304,-0.725725498,-0.961221035,-0.746377393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.200579572,-0.228598208,0.108720723,1.432797169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.514753464,-1.020602392,-1.626221288,-2.461297772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,